timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1701897706532,58,Add Surgery,200,OK,Add Medical Records 1-1,text,true,,192,430,1,3,http://127.0.0.1:5000/data/surgery,50,0,39
1701897706532,58,Get User Info,200,OK,Get Medical Records 2-1,text,true,,174,355,1,3,http://127.0.0.1:5000/data/100200310,50,0,39
1701897706532,58,Add User Access,200,OK,User Access 3-1,text,true,,192,275,1,3,http://127.0.0.1:5000/data/userAccess,50,0,39
1701897706594,3,Add Injury,200,OK,Add Medical Records 1-1,text,true,,192,383,1,3,http://127.0.0.1:5000/data/injury,3,0,1
1701897706594,5,Get Access Grants,200,OK,User Access 3-1,text,true,,280,170,1,3,http://127.0.0.1:5000/data/access/200100300,5,0,1
1701897706594,6,Get Appointments,200,OK,Get Medical Records 2-1,text,true,,174,175,1,3,http://127.0.0.1:5000/data/appointment/200100300,6,0,1
1701897706597,4,Add Incident,200,OK,Add Medical Records 1-1,text,true,,192,389,1,3,http://127.0.0.1:5000/data/incident,4,0,1
1701897706599,4,Add User Access,200,OK,User Access 3-1,text,true,,192,275,1,3,http://127.0.0.1:5000/data/userAccess,4,0,1
1701897706601,5,Get User Info,200,OK,Get Medical Records 2-1,text,true,,797,355,1,3,http://127.0.0.1:5000/data/100200310,4,0,0
1701897706601,6,Add Drug,200,OK,Add Medical Records 1-1,text,true,,192,390,1,3,http://127.0.0.1:5000/data/drug,6,0,0
1701897706604,5,Get Access Grants,200,OK,User Access 3-1,text,true,,386,170,1,3,http://127.0.0.1:5000/data/access/200100300,5,0,0
1701897706607,5,Add Allergy,200,OK,Add Medical Records 1-1,text,true,,192,363,1,3,http://127.0.0.1:5000/data/allergy,4,0,1
1701897706606,6,Get Appointments,200,OK,Get Medical Records 2-1,text,true,,174,175,1,3,http://127.0.0.1:5000/data/appointment/200100300,5,0,0
1701897706610,4,Add User Access,200,OK,User Access 3-1,text,true,,192,275,1,3,http://127.0.0.1:5000/data/userAccess,4,0,0
1701897706612,3,Get User Info,200,OK,Get Medical Records 2-1,text,true,,1168,355,1,3,http://127.0.0.1:5000/data/100200310,3,0,0
1701897706612,6,Add Appointment,200,OK,Add Medical Records 1-1,text,true,,192,362,1,3,http://127.0.0.1:5000/data/appointment,6,0,0
1701897706614,7,Get Access Grants,200,OK,User Access 3-1,text,true,,492,170,1,3,http://127.0.0.1:5000/data/access/200100300,7,0,1
1701897706616,5,Get Appointments,200,OK,Get Medical Records 2-1,text,true,,345,175,1,3,http://127.0.0.1:5000/data/appointment/200100300,5,0,0
1701897706619,5,Add Surgery,200,OK,Add Medical Records 1-1,text,true,,192,430,1,3,http://127.0.0.1:5000/data/surgery,5,0,0
1701897706621,7,Get User Info,200,OK,Get Medical Records 2-1,text,true,,1573,355,1,3,http://127.0.0.1:5000/data/100200310,7,0,1
1701897706625,5,Add Injury,200,OK,Add Medical Records 1-1,text,true,,192,383,1,3,http://127.0.0.1:5000/data/injury,5,0,0
1701897706621,9,Add User Access,200,OK,User Access 3-1,text,true,,192,275,1,3,http://127.0.0.1:5000/data/userAccess,9,0,1
1701897706628,4,Get Appointments,200,OK,Get Medical Records 2-1,text,true,,345,175,1,3,http://127.0.0.1:5000/data/appointment/200100300,4,0,1
1701897706631,3,Get Access Grants,200,OK,User Access 3-1,text,true,,598,170,1,3,http://127.0.0.1:5000/data/access/200100300,3,0,0
1701897706631,5,Add Incident,200,OK,Add Medical Records 1-1,text,true,,192,389,1,3,http://127.0.0.1:5000/data/incident,5,0,0
1701897706633,5,Get User Info,200,OK,Get Medical Records 2-1,text,true,,1963,355,1,3,http://127.0.0.1:5000/data/100200310,5,0,0
1701897706635,5,Add User Access,200,OK,User Access 3-1,text,true,,192,275,1,3,http://127.0.0.1:5000/data/userAccess,5,0,0
1701897706636,6,Add Drug,200,OK,Add Medical Records 1-1,text,true,,192,390,1,3,http://127.0.0.1:5000/data/drug,6,0,0
1701897706639,4,Get Appointments,200,OK,Get Medical Records 2-1,text,true,,345,175,1,3,http://127.0.0.1:5000/data/appointment/200100300,4,0,0
1701897706643,3,Add Allergy,200,OK,Add Medical Records 1-1,text,true,,192,363,1,3,http://127.0.0.1:5000/data/allergy,3,0,0
1701897706641,6,Get Access Grants,200,OK,User Access 3-1,text,true,,704,170,1,3,http://127.0.0.1:5000/data/access/200100300,6,0,0
1701897706643,4,Get User Info,200,OK,Get Medical Records 2-1,text,true,,2334,355,1,3,http://127.0.0.1:5000/data/100200310,4,0,1
1701897706646,3,Add Appointment,200,OK,Add Medical Records 1-1,text,true,,192,362,1,3,http://127.0.0.1:5000/data/appointment,3,0,1
1701897706647,5,Add User Access,200,OK,User Access 3-1,text,true,,192,275,1,3,http://127.0.0.1:5000/data/userAccess,5,0,1
1701897706648,6,Get Appointments,200,OK,Get Medical Records 2-1,text,true,,516,175,1,3,http://127.0.0.1:5000/data/appointment/200100300,6,0,1
1701897706650,5,Add Surgery,200,OK,Add Medical Records 1-1,text,true,,192,430,1,3,http://127.0.0.1:5000/data/surgery,5,0,1
1701897706653,3,Get Access Grants,200,OK,User Access 3-1,text,true,,810,170,1,3,http://127.0.0.1:5000/data/access/200100300,3,0,0
1701897706654,5,Get User Info,200,OK,Get Medical Records 2-1,text,true,,2738,355,1,3,http://127.0.0.1:5000/data/100200310,5,0,1
1701897706655,6,Add Injury,200,OK,Add Medical Records 1-1,text,true,,192,383,1,3,http://127.0.0.1:5000/data/injury,5,0,1
